id,symbol,status,timestamp_created,buy_order_price,buy_order_status,sell_order_price,sell_order_status,buy_size_quote,buy_size_base,sell_size_quote,sell_size_base,psar_timeframe,max_number_of_trades_for_period,max_number_of_trades_period,buy_order_fill_timestamp,buy_order_fee,sell_order_fill_timestamp,sell_order_fee,side,gross_pnl,net_pnl
10,btcusdt,closed,2022-04-01 00:00:00.014902,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
11,btcusdt,closed,2022-04-01 00:00:00.017483,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
12,btcusdt,closed,2022-04-01 00:00:00.017486,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
13,btcusdt,closed,2022-04-01 00:00:00.017486,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
14,btcusdt,closed,2022-04-01 00:00:00.017495,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
15,btcusdt,closed,2022-04-01 00:00:00.018780,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
16,btcusdt,closed,2022-04-01 00:00:00.018783,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
17,btcusdt,closed,2022-04-01 00:00:00.019483,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
18,btcusdt,closed,2022-04-01 00:00:00.019486,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
19,btcusdt,closed,2022-04-01 00:00:00.021050,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
20,btcusdt,closed,2022-04-01 00:00:00.021053,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
21,btcusdt,closed,2022-04-01 00:00:00.021505,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
22,btcusdt,closed,2022-04-01 00:00:00.022358,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
23,btcusdt,closed,2022-04-01 00:00:00.023496,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
24,btcusdt,closed,2022-04-01 00:00:00.023596,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
25,btcusdt,closed,2022-04-01 00:00:00.025325,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
26,btcusdt,closed,2022-04-01 00:00:00.043638,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
27,btcusdt,closed,2022-04-01 00:00:00.043661,45509.8948965,filled,45510.8051035,filled,12,0.00026367892141457956,12.00012,0.00026367628462536545,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
28,btcusdt,closed,2022-04-01 00:00:00.043662,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
29,btcusdt,closed,2022-04-01 00:00:00.047106,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
30,btcusdt,closed,2022-04-01 00:00:00.047176,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
31,btcusdt,closed,2022-04-01 00:00:00.047179,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
32,btcusdt,closed,2022-04-01 00:00:00.049543,45509.8848966,filled,45510.7951034,filled,12,0.00026367897935282425,12.00012,0.00026367634256303075,5min,100,7d,2022-04-01 00:00:03.709716,0.0012000000000000001,2022-04-01 00:00:15.342639,0.001200012,long,0.00012000000000078614,-0.002280011999999214
39,btcusdt,closed,2022-04-01 00:00:15.348489,45514.024855200005,filled,45514.93514480001,filled,12,0.00026365499509606636,12.00012,0.0002636523585461154,5min,100,7d,2022-04-01 00:00:15.351840,0.0012000000000000001,2022-04-01 00:00:15.353431,0.001200012,long,0.00012000000000078614,-0.002280011999999214
40,btcusdt,closed,2022-04-01 00:00:15.348491,45514.0548549,filled,45514.9651451,filled,12,0.00026365482131302767,12.00012,0.0002636521847648146,5min,100,7d,2022-04-01 00:00:15.351840,0.0012000000000000001,2022-04-01 00:00:15.353431,0.001200012,long,0.00012000000000078614,-0.002280011999999214
41,btcusdt,closed,2022-04-01 00:00:15.348493,45514.45485090001,filled,45515.365149100006,filled,12,0.0002636525042277357,12.00012,0.00026364986770269347,5min,100,7d,2022-04-01 00:00:15.351840,0.0012000000000000001,2022-04-01 00:00:15.353431,0.001200012,long,0.00012000000000078614,-0.002280011999999214
42,btcusdt,closed,2022-04-01 00:00:15.348493,45514.6848486,filled,45515.595151400004,filled,12,0.0002636511719221343,12.00012,0.00026364853541041507,5min,100,7d,2022-04-01 00:00:15.351840,0.0012000000000000001,2022-04-01 00:00:15.353431,0.001200012,long,0.00012000000000078614,-0.002280011999999214
